#NEXUS

[1 samples from mcmc run generated by language trees. File written 27-Aug-2021 15:45:43]
[This file contains the values of XI at each leaf.]
[For associated trees see same file with .nex extension]
[Sample 	armenian   	lycian   	hittite   	luvian   	oldirish   	welsh   	latin   	oscan   	umbrian   	oldhighgerman   	gothic   	oldenglish   	oldnorse   	lithuanian   	oldprussian   	oldcslavonic   	latvian   	oldpersian   	vedic   	avestan   	tocharian_a   	tocharian_b   	albanian   	greek   	]
          30 	0.99857300 	0.11743171 	0.89986666 	0.53801496 	0.99461737 	0.98967163 	0.99728533 	0.25001070 	0.31999446 	0.99579811 	0.88785990 	0.99942650 	0.99172154 	0.99959218 	0.85685963 	0.96998897 	0.99870477 	0.42824755 	0.99590003 	0.94428341 	0.90678156 	0.96481754 	0.99439047 	0.99516565 	
          31 	0.99127850 	0.12408085 	0.90876871 	0.56621015 	0.99104167 	0.99240205 	0.99590317 	0.30703222 	0.31330447 	0.99122222 	0.91051706 	0.99938790 	0.98798934 	0.99940615 	0.85482371 	0.98267003 	0.99576906 	0.44552647 	0.99735596 	0.94436723 	0.92418241 	0.96151470 	0.98166634 	0.99615547 	
          32 	0.99718254 	0.12652049 	0.90677177 	0.52972385 	0.98675940 	0.99426920 	0.99513489 	0.23559463 	0.29756070 	0.99258652 	0.87778662 	0.99980120 	0.98595809 	0.99941671 	0.88738773 	0.98482754 	0.99176272 	0.39146766 	0.99924511 	0.94045871 	0.90969935 	0.93793895 	0.98921838 	0.99737995 	
          33 	0.99787409 	0.14123282 	0.89581134 	0.55773984 	0.99376648 	0.99553119 	0.99529666 	0.28800845 	0.30939213 	0.99678029 	0.88372587 	0.99896576 	0.99639185 	0.99887509 	0.87317254 	0.98574782 	0.99402234 	0.40171738 	0.99817938 	0.94828157 	0.90510788 	0.95523684 	0.98897147 	0.99545142 	
          34 	0.99395637 	0.14492999 	0.89625989 	0.56130152 	0.99550264 	0.99417111 	0.99802006 	0.29107373 	0.30422359 	0.99795228 	0.89416790 	0.99820191 	0.99525740 	0.99679146 	0.87573964 	0.98600180 	0.99419484 	0.40429312 	0.99737252 	0.93059896 	0.88563897 	0.96555739 	0.98901895 	0.99599724 	
          35 	0.99735383 	0.12878639 	0.92883171 	0.54862688 	0.99034088 	0.99806835 	0.99834732 	0.22054504 	0.32944262 	0.99781366 	0.89111025 	0.99805401 	0.99303086 	0.99689432 	0.85828202 	0.98866740 	0.99895219 	0.38708227 	0.99843884 	0.94021999 	0.92880843 	0.94656585 	0.99658784 	0.98693053 	
          36 	0.99718139 	0.11817795 	0.92653894 	0.51181321 	0.99138927 	0.99712404 	0.99828177 	0.21105391 	0.33348457 	0.99663968 	0.88660616 	0.99925426 	0.99418363 	0.99834883 	0.85461842 	0.99056741 	0.99626943 	0.38271445 	0.99721858 	0.95336867 	0.93364610 	0.94591520 	0.99821578 	0.99164795 	
          37 	0.99892506 	0.15073808 	0.93183667 	0.52983888 	0.98950426 	0.99576700 	0.99759951 	0.24018471 	0.35809479 	0.99482321 	0.88060006 	0.99828770 	0.99817488 	0.99933902 	0.86513908 	0.97078173 	0.99679563 	0.40102425 	0.99748871 	0.94826908 	0.88898817 	0.94328182 	0.99968449 	0.99191708 	
          38 	0.99890053 	0.13486295 	0.88946182 	0.46609098 	0.99364428 	0.99415692 	0.99799266 	0.22598160 	0.34609575 	0.99678576 	0.86806658 	0.99973593 	0.99770221 	0.99833145 	0.81766001 	0.98425653 	0.99598999 	0.40646565 	0.99606847 	0.97026068 	0.92814961 	0.96300947 	0.99894979 	0.99505789 	
          39 	0.99977305 	0.14496507 	0.88714578 	0.58925139 	0.99208287 	0.99961321 	0.99749336 	0.27630184 	0.35373132 	0.99902597 	0.86046156 	0.99873641 	0.99632706 	0.99900101 	0.87109566 	0.98632557 	0.99935927 	0.43486548 	0.99765832 	0.94220484 	0.91840131 	0.93497715 	0.99908160 	0.98236051 	
          40 	0.99836684 	0.13266780 	0.94395483 	0.45758538 	0.99118490 	0.99970834 	0.99414717 	0.25627243 	0.30307490 	0.99826741 	0.88302740 	0.99960609 	0.99560817 	0.99192859 	0.89658629 	0.98737838 	0.99949483 	0.42673761 	0.99884653 	0.95953971 	0.89490415 	0.94816880 	0.99876784 	0.99661094 	
          41 	0.99829824 	0.10640420 	0.90110051 	0.52214941 	0.98169506 	0.99178360 	0.99582716 	0.23375169 	0.28197138 	0.99868914 	0.89662209 	0.99985988 	0.99811093 	0.99325431 	0.83266655 	0.99475670 	0.99899709 	0.39260703 	0.99883950 	0.92415455 	0.91226299 	0.96413542 	0.99755232 	0.99577164 	
          42 	0.99733267 	0.13771184 	0.92193769 	0.51428285 	0.98895055 	0.99412580 	0.99718606 	0.25580932 	0.30264093 	0.99899456 	0.92278812 	0.99992169 	0.99555296 	0.99421860 	0.89362060 	0.99551757 	0.99955335 	0.40564107 	0.99792368 	0.93596113 	0.91478864 	0.95601869 	0.99786378 	0.99685150 	
          43 	0.99786151 	0.11544659 	0.88797370 	0.49116365 	0.99049951 	0.99801990 	0.99908163 	0.23659348 	0.30225047 	0.99910000 	0.87897306 	0.99999216 	0.99685531 	0.99406439 	0.84385629 	0.99170035 	0.99782424 	0.39029405 	0.99906994 	0.96206950 	0.90652116 	0.95987428 	0.99636675 	0.99906673 	
          44 	0.99758661 	0.12975389 	0.91770049 	0.49146952 	0.99264771 	0.99937870 	0.99922261 	0.25526428 	0.29779756 	0.99913940 	0.89777716 	0.99999319 	0.99709876 	0.99755469 	0.85823882 	0.99300623 	0.99934947 	0.40015580 	0.99906786 	0.94656261 	0.91877142 	0.95942460 	0.99852563 	0.99964255 	
          45 	0.99844001 	0.12181394 	0.93006659 	0.51239388 	0.98411581 	0.99816995 	0.99206224 	0.24846946 	0.29139081 	0.99860246 	0.88525317 	0.99999057 	0.99751992 	0.99791718 	0.86501428 	0.98646271 	0.99894395 	0.42567043 	0.99819372 	0.94914823 	0.89683404 	0.94956328 	0.99879052 	0.99959516 	
          46 	0.99614310 	0.09028920 	0.91082609 	0.49329451 	0.98387163 	0.99827671 	0.99611009 	0.30925962 	0.26923857 	0.99857827 	0.88297875 	0.99999898 	0.99819691 	0.99045379 	0.86936797 	0.98499810 	0.99872936 	0.42131858 	0.99590526 	0.94550312 	0.89685844 	0.94822073 	0.99947256 	0.99973617 	
          47 	0.99730470 	0.13502831 	0.89888271 	0.51642630 	0.98488096 	0.99855389 	0.99962326 	0.22492422 	0.40021776 	0.99675817 	0.91098242 	0.99999926 	0.99959128 	0.99474098 	0.86832857 	0.99201901 	0.99748442 	0.40107793 	0.99734254 	0.94973698 	0.90241984 	0.95826178 	0.99938598 	0.99954808 	
          48 	0.99694853 	0.12770889 	0.93034784 	0.51265983 	0.97362199 	0.99658656 	0.99976190 	0.21888728 	0.35010264 	0.99782538 	0.86800357 	0.99999273 	0.99805269 	0.99450324 	0.82135240 	0.99434800 	0.99572482 	0.40756356 	0.99855310 	0.94874282 	0.93438197 	0.94686902 	0.99696117 	0.99921787 	
          49 	0.99671569 	0.10398634 	0.92747210 	0.56801074 	0.98967571 	0.99594097 	0.99871221 	0.27049873 	0.28003805 	0.99891363 	0.90316293 	0.99996335 	0.99901746 	0.99825558 	0.85944640 	0.99232041 	0.99331801 	0.41467771 	0.99575925 	0.94383758 	0.90332663 	0.94553279 	0.99705079 	0.99877219 	
          50 	0.99681788 	0.12817627 	0.91693558 	0.54561219 	0.98343120 	0.98954058 	0.99911386 	0.29019328 	0.29947506 	0.99920248 	0.89903954 	0.99997221 	0.99832742 	0.99780123 	0.87444764 	0.99066200 	0.99220649 	0.37879030 	0.99385775 	0.93125321 	0.90012894 	0.96169265 	0.99728315 	0.99962305 	
          51 	0.99514042 	0.15083429 	0.86378744 	0.55479941 	0.98836563 	0.98760023 	0.99915559 	0.26825145 	0.29540695 	0.99919429 	0.86173890 	0.99997094 	0.99445233 	0.99776494 	0.86391629 	0.99255812 	0.99172763 	0.37703535 	0.99800494 	0.93144805 	0.89068147 	0.93558281 	0.99583563 	0.99991005 	
          52 	0.99621811 	0.12852114 	0.89401525 	0.44840076 	0.98769711 	0.99263291 	0.99976424 	0.24902362 	0.30934729 	0.99936485 	0.87998789 	0.99997376 	0.99456902 	0.99771479 	0.83910307 	0.98484077 	0.99359187 	0.44318068 	0.99449474 	0.94732234 	0.86880006 	0.94495869 	0.99850019 	0.99905335 	
          53 	0.99801424 	0.13563410 	0.90561909 	0.58493962 	0.98403845 	0.99281283 	0.99955274 	0.22517363 	0.30397299 	0.99744863 	0.87207630 	0.99998143 	0.99617015 	0.99305128 	0.84235238 	0.99527200 	0.99197293 	0.40536105 	0.99499072 	0.96915104 	0.89906547 	0.95760416 	0.99987305 	0.99874064 	
          54 	0.99578484 	0.13166056 	0.90723369 	0.50386635 	0.98945686 	0.98846245 	0.99981381 	0.23574625 	0.28760439 	0.99856713 	0.89490225 	0.99997693 	0.99221356 	0.99302275 	0.86133387 	0.99523055 	0.99803676 	0.45040984 	0.99456196 	0.95042699 	0.89422255 	0.94284449 	0.99985320 	0.99701875 	
          55 	0.99558311 	0.12478147 	0.87823376 	0.49993592 	0.98464890 	0.99145508 	0.99992189 	0.22969174 	0.28196071 	0.99856932 	0.86026119 	0.99995240 	0.99570413 	0.98917823 	0.85824475 	0.98020901 	0.99878653 	0.44605592 	0.99827505 	0.94783212 	0.91161947 	0.94574737 	0.99990361 	0.99368649 	
          56 	0.99815464 	0.14016778 	0.89630810 	0.53104549 	0.98686626 	0.99231731 	0.99993507 	0.23728456 	0.27594526 	0.99909659 	0.88745312 	0.99985427 	0.99442662 	0.98470365 	0.86117722 	0.97536489 	0.99924779 	0.38128573 	0.99829163 	0.92981854 	0.91537585 	0.96154454 	0.99931068 	0.99888489 	
          57 	0.99898637 	0.16151760 	0.89370836 	0.53200102 	0.98528676 	0.99429481 	0.99994597 	0.23905506 	0.32524283 	0.99852392 	0.89200812 	0.99793693 	0.99598492 	0.98741954 	0.83992219 	0.97658658 	0.99966107 	0.37240525 	0.99919409 	0.93079607 	0.89575382 	0.95695150 	0.99945904 	0.99932655 	
          58 	0.99816690 	0.13739386 	0.92960223 	0.51853635 	0.99120500 	0.98226815 	0.99991102 	0.24107476 	0.30582958 	0.99721588 	0.90224869 	0.99873612 	0.99576128 	0.99485452 	0.87598566 	0.99417457 	0.99987411 	0.35434889 	0.99899901 	0.95086947 	0.90579431 	0.94702476 	0.99955845 	0.99951983 	
          59 	0.99798735 	0.14768465 	0.91231091 	0.52428016 	0.98871128 	0.99300876 	0.99994177 	0.25012865 	0.31411095 	0.99721583 	0.91342756 	0.99845193 	0.99377358 	0.99416034 	0.85101058 	0.99027309 	0.99652504 	0.42811768 	0.99922070 	0.95727657 	0.90691817 	0.94730398 	0.99898826 	0.99937528 	
          60 	0.99660650 	0.13176649 	0.91110769 	0.48421339 	0.99511747 	0.99435344 	0.99974236 	0.24339767 	0.26946968 	0.99820014 	0.90631324 	0.99948562 	0.99597678 	0.98979930 	0.88650749 	0.99277418 	0.99689050 	0.41743699 	0.99649326 	0.94163337 	0.91468395 	0.96581729 	0.99821175 	0.99902426 	
          61 	0.99706979 	0.18080286 	0.94832726 	0.53255753 	0.98975648 	0.99860264 	0.99923471 	0.28612930 	0.31072881 	0.99785404 	0.88878881 	0.99966936 	0.99645475 	0.98998690 	0.81721368 	0.98893695 	0.99562104 	0.43896584 	0.99505199 	0.95459102 	0.92435624 	0.92088081 	0.99170630 	0.99948855 	
          62 	0.99569571 	0.15583966 	0.92500374 	0.53656109 	0.99464106 	0.99644629 	0.99983523 	0.29224348 	0.31663229 	0.99583033 	0.87901399 	0.99962904 	0.98310316 	0.99477591 	0.85667546 	0.98194108 	0.99760957 	0.40157589 	0.99125658 	0.96098279 	0.90236765 	0.96378158 	0.99389949 	0.99991263 	
          63 	0.99745865 	0.12763780 	0.88906401 	0.53308203 	0.99432084 	0.99761076 	0.99985634 	0.28704682 	0.29724845 	0.99701752 	0.89608630 	0.99970881 	0.98324878 	0.99403645 	0.85261003 	0.98888230 	0.99738352 	0.35888979 	0.99089333 	0.95276950 	0.89539125 	0.97316558 	0.99082514 	0.99990634 	
          64 	0.99948683 	0.12808066 	0.92274203 	0.51768913 	0.98438989 	0.99633688 	0.99864237 	0.27345783 	0.28399266 	0.98819711 	0.87173197 	0.99868630 	0.98203707 	0.99443215 	0.88773307 	0.98789187 	0.99647163 	0.39157449 	0.98833951 	0.92398339 	0.88986351 	0.96278460 	0.98847467 	0.99987614 	
          65 	0.99941841 	0.12302836 	0.91927035 	0.50525290 	0.97803315 	0.99896348 	0.99952678 	0.23875845 	0.27984378 	0.99426377 	0.89953576 	0.99799436 	0.98757821 	0.99780613 	0.86159576 	0.98950801 	0.99791470 	0.38804899 	0.99678591 	0.94110404 	0.92658853 	0.93909602 	0.98771537 	0.99987757 	
          66 	0.99951720 	0.11258245 	0.92735637 	0.52045259 	0.98277508 	0.99947022 	0.99885964 	0.24741494 	0.27126575 	0.99482561 	0.90006996 	0.99958704 	0.98859239 	0.99762162 	0.86390832 	0.99270214 	0.99539529 	0.41933310 	0.99084627 	0.92386048 	0.93797342 	0.95081881 	0.99891369 	0.99957923 	
          67 	0.99967847 	0.12199523 	0.92799917 	0.56466174 	0.97776552 	0.99419418 	0.99923715 	0.25115683 	0.32650778 	0.98834196 	0.88894705 	0.99970982 	0.98392005 	0.99777895 	0.87950525 	0.99104157 	0.99121229 	0.43902112 	0.99767114 	0.94956991 	0.90931648 	0.95912548 	0.99790557 	0.99760164 	
          68 	0.99963218 	0.11098892 	0.90263183 	0.55920452 	0.98165834 	0.99298751 	0.99751244 	0.24341152 	0.31806515 	0.99646829 	0.86900356 	0.99949227 	0.99189261 	0.99915890 	0.85914189 	0.98976032 	0.98875391 	0.41533347 	0.99915689 	0.95154657 	0.89928410 	0.94476250 	0.99653620 	0.99682742 	
          69 	0.99923801 	0.11375271 	0.92826262 	0.56057488 	0.98816490 	0.98294960 	0.99748092 	0.30173335 	0.32018518 	0.99466618 	0.89474007 	0.99888000 	0.99590019 	0.99922227 	0.86357502 	0.99028550 	0.99111728 	0.41715110 	0.99361901 	0.93469342 	0.89959721 	0.92674027 	0.99945485 	0.99145682 	
          70 	0.99890864 	0.14159193 	0.91201749 	0.51210714 	0.98618992 	0.98872794 	0.99777267 	0.18857651 	0.30066145 	0.99127091 	0.89386240 	0.99667758 	0.99408373 	0.99893312 	0.86905062 	0.99719031 	0.99848702 	0.40041215 	0.99586182 	0.93166889 	0.91520828 	0.97681441 	0.99874228 	0.98531186 	
          71 	0.99756970 	0.13262788 	0.89665156 	0.52785700 	0.98713240 	0.99628330 	0.99677057 	0.21547423 	0.29069711 	0.99633541 	0.88407086 	0.99822653 	0.99001042 	0.99642058 	0.89158022 	0.99214159 	0.99700470 	0.40870536 	0.99177843 	0.94379706 	0.91559502 	0.94766005 	0.99939294 	0.99627111 	
          72 	0.99903565 	0.12877111 	0.91285127 	0.52575762 	0.98625821 	0.99526021 	0.99871157 	0.23171259 	0.28754320 	0.99490789 	0.87880702 	0.99843660 	0.99495038 	0.98703280 	0.89468191 	0.99210328 	0.99527526 	0.42753505 	0.99877860 	0.94122424 	0.89316223 	0.97384003 	0.99813404 	0.99622207 	
          73 	0.99895119 	0.11881218 	0.89666963 	0.52033660 	0.98891452 	0.99814221 	0.99582442 	0.22293038 	0.27939918 	0.98948157 	0.89938342 	0.99878939 	0.98379415 	0.99749246 	0.89068836 	0.99165316 	0.99551325 	0.42060552 	0.99940289 	0.95627395 	0.91882136 	0.95310074 	0.99200438 	0.99620424 	
          74 	0.99773593 	0.11619375 	0.92812444 	0.47746889 	0.99296095 	0.99736835 	0.99596056 	0.20631063 	0.34126098 	0.99609765 	0.84976575 	0.99749176 	0.99695339 	0.99518889 	0.89012588 	0.99209627 	0.99948989 	0.41888386 	0.99965703 	0.93576783 	0.91174709 	0.95179264 	0.99416313 	0.99650847 	
          75 	0.99933116 	0.11165763 	0.90267973 	0.49579894 	0.97594690 	0.99688519 	0.99369536 	0.22175373 	0.36884012 	0.99867381 	0.89521481 	0.99948480 	0.99686326 	0.99923911 	0.88925712 	0.99456356 	0.99986262 	0.39246197 	0.99833993 	0.94764095 	0.92732816 	0.95805051 	0.99645600 	0.99691511 	
          76 	0.99971276 	0.15169445 	0.90503209 	0.51022030 	0.98922607 	0.99904196 	0.99028941 	0.24313920 	0.32484927 	0.99561713 	0.91547119 	0.99898690 	0.99376886 	0.99356023 	0.88318209 	0.98428531 	0.99975912 	0.40915654 	0.99810081 	0.94460467 	0.90630988 	0.96901012 	0.99665765 	0.99653294 	
