#NEXUS

[1 samples from mcmc run generated by language trees. File written 27-Aug-2021 15:44:16]
[This file contains the values of XI at each leaf.]
[For associated trees see same file with .nex extension]
[Sample 	armenian   	lycian   	hittite   	luvian   	oldirish   	welsh   	latin   	oscan   	umbrian   	oldhighgerman   	gothic   	oldenglish   	oldnorse   	lithuanian   	oldprussian   	oldcslavonic   	latvian   	avestan   	vedic   	oldpersian   	tocharian_b   	tocharian_a   	albanian   	greek   	]
          45 	0.19718199 	0.62167787 	0.13497612 	0.51962965 	0.09758443 	0.72736414 	0.82122352 	0.67533544 	0.27796986 	0.70663539 	0.26142944 	0.24486707 	0.34027060 	0.20197926 	0.80160685 	0.13192744 	0.71129679 	0.15688514 	0.97428277 	0.37105655 	0.10522158 	0.85211016 	0.96336985 	0.27825850 	
          46 	0.06473701 	0.11103325 	0.38115969 	0.67782599 	0.53916831 	0.63121762 	0.86790051 	0.75460143 	0.36104253 	0.22691932 	0.55825532 	0.36147457 	0.83756014 	0.06558176 	0.39334428 	0.40286972 	0.94248811 	0.41067445 	0.94969988 	0.36577468 	0.64448054 	0.63382412 	0.99027133 	0.09035044 	
          47 	0.14600568 	0.26835585 	0.02982882 	0.58288994 	0.61529935 	0.64930094 	0.26245365 	0.92408166 	0.40773157 	0.50640740 	0.74238426 	0.18850022 	0.75719851 	0.46244494 	0.66945387 	0.63204697 	0.21002924 	0.66205858 	0.65677246 	0.77796283 	0.22049425 	0.36876412 	0.94577113 	0.41015895 	
          48 	0.26681279 	0.02886216 	0.73620885 	0.12538411 	0.51300941 	0.11574260 	0.66210819 	0.68152760 	0.86695226 	0.28265485 	0.77821694 	0.03515018 	0.34978172 	0.20517952 	0.22574330 	0.17177891 	0.66459530 	0.34531806 	0.49712890 	0.37976072 	0.73939690 	0.28907471 	0.82789701 	0.44008032 	
          49 	0.20893718 	0.52554856 	0.75842004 	0.66176548 	0.63658896 	0.48164032 	0.77323162 	0.92184829 	0.81933673 	0.19320403 	0.84428167 	0.17226495 	0.54570488 	0.37425484 	0.69107734 	0.07563145 	0.17449500 	0.56223962 	0.89126153 	0.41901035 	0.07194630 	0.13760043 	0.98635840 	0.05333517 	
          50 	0.40697589 	0.11923844 	0.91992918 	0.05749482 	0.84636766 	0.91124756 	0.04495973 	0.53123287 	0.73952000 	0.11989033 	0.72715910 	0.09967198 	0.40075561 	0.09992080 	0.78370228 	0.22323176 	0.06242728 	0.82506133 	0.52721495 	0.00316499 	0.42995706 	0.31173634 	0.92657772 	0.12615600 	
          51 	0.76547106 	0.36638793 	0.89319371 	0.48179493 	0.37708462 	0.90054578 	0.08533949 	0.24134829 	0.02855099 	0.24212546 	0.71663199 	0.68735637 	0.10199076 	0.24299396 	0.82888002 	0.32429257 	0.66173982 	0.96581505 	0.59174686 	0.10137307 	0.67367516 	0.77571304 	0.39414533 	0.01716320 	
          52 	0.80902656 	0.14149229 	0.96304857 	0.92266852 	0.64386787 	0.03144033 	0.77660230 	0.67968426 	0.28320289 	0.05807345 	0.07718314 	0.13530022 	0.28322702 	0.84790454 	0.57020335 	0.18484063 	0.83649820 	0.94989291 	0.08759190 	0.45684196 	0.47827032 	0.83840532 	0.42185910 	0.36970146 	
          53 	0.60342909 	0.19635242 	0.81345359 	0.71806638 	0.32558509 	0.54781787 	0.35059826 	0.04083479 	0.34543930 	0.29927140 	0.16741619 	0.35204122 	0.59788971 	0.95591319 	0.43831435 	0.17883540 	0.32190265 	0.99524843 	0.03224537 	0.12207816 	0.09778147 	0.65609468 	0.03235665 	0.24499060 	
          54 	0.00710992 	0.48537782 	0.69359891 	0.64010188 	0.50588731 	0.76680665 	0.24969813 	0.23119617 	0.75129373 	0.22225761 	0.56727647 	0.58989070 	0.83971672 	0.92751231 	0.93323899 	0.21933656 	0.02265044 	0.98379773 	0.33893114 	0.47750027 	0.60875475 	0.49962524 	0.02496033 	0.06351694 	
          55 	0.01288414 	0.33296552 	0.02181300 	0.79663082 	0.62035846 	0.89270568 	0.79164767 	0.43463834 	0.22881130 	0.39816889 	0.17663791 	0.11832604 	0.46839967 	0.98033026 	0.91445100 	0.35042829 	0.42438588 	0.98201719 	0.14687334 	0.88746633 	0.00799336 	0.06340032 	0.03119059 	0.40801676 	
          56 	0.26695802 	0.85107012 	0.40411008 	0.75511930 	0.10068098 	0.56314307 	0.69517047 	0.69454819 	0.18941802 	0.01196432 	0.15763359 	0.49355827 	0.50286155 	0.95007604 	0.96735008 	0.19528794 	0.05593126 	0.88952476 	0.38700716 	0.96896935 	0.26312124 	0.57601779 	0.53576700 	0.44757491 	
          57 	0.09517207 	0.65855811 	0.54163178 	0.27657860 	0.51227342 	0.35434288 	0.85084248 	0.38751784 	0.33114634 	0.06158947 	0.49119447 	0.04949414 	0.75421313 	0.90114569 	0.86673661 	0.33786109 	0.29491071 	0.92721068 	0.36449017 	0.47210833 	0.02061356 	0.27306374 	0.31172694 	0.07455507 	
          58 	0.39004108 	0.55439802 	0.19570587 	0.71106546 	0.45166557 	0.22360386 	0.05969649 	0.00049483 	0.40922104 	0.48677860 	0.05100318 	0.13343501 	0.53664619 	0.34534227 	0.79791534 	0.23650599 	0.02363368 	0.77724291 	0.78428915 	0.57742163 	0.56055059 	0.34719347 	0.09011960 	0.56022731 	
          59 	0.26203986 	0.31811213 	0.05868792 	0.59225843 	0.54535817 	0.50903691 	0.53186073 	0.21397583 	0.56006186 	0.44558034 	0.56569239 	0.07035103 	0.52722877 	0.76858199 	0.90882553 	0.42389740 	0.66951426 	0.69188238 	0.56174351 	0.67477021 	0.69830124 	0.85845051 	0.81726237 	0.14456041 	
          60 	0.82799724 	0.49129773 	0.49457863 	0.70779236 	0.38962087 	0.07785693 	0.68013267 	0.51056374 	0.30342176 	0.53856994 	0.54453265 	0.67406474 	0.37535881 	0.35226170 	0.51477142 	0.93039884 	0.26376186 	0.27404447 	0.47373629 	0.09282697 	0.46866993 	0.27920228 	0.16791609 	0.03149678 	
          61 	0.57069693 	0.73525169 	0.83819382 	0.05605755 	0.22987037 	0.55506607 	0.55905181 	0.20149586 	0.29000292 	0.81375617 	0.16474981 	0.79931876 	0.45573432 	0.72917610 	0.44323400 	0.90878563 	0.83929865 	0.86892248 	0.70817208 	0.18355128 	0.15893210 	0.16501816 	0.52639473 	0.09495095 	
          62 	0.01892487 	0.64470394 	0.70397627 	0.17030447 	0.26798401 	0.03560550 	0.68429573 	0.04057987 	0.62893742 	0.79007893 	0.55351791 	0.38077251 	0.27623533 	0.66048191 	0.40597969 	0.62977753 	0.64483186 	0.56873246 	0.65401470 	0.00935156 	0.89474476 	0.19891113 	0.54500868 	0.51581926 	
          63 	0.02347090 	0.05835124 	0.91874744 	0.57497034 	0.49701429 	0.30972837 	0.81532199 	0.03248796 	0.79640007 	0.62270200 	0.84968097 	0.28558037 	0.61885396 	0.75538611 	0.09096983 	0.48866942 	0.21219654 	0.64338261 	0.75468305 	0.35332032 	0.80874467 	0.03752238 	0.07371142 	0.87380048 	
          64 	0.27274431 	0.63298220 	0.94495290 	0.87997247 	0.50419304 	0.54789181 	0.19336597 	0.12162469 	0.64918870 	0.51272576 	0.60028846 	0.21479959 	0.93325812 	0.91797415 	0.03385388 	0.46366062 	0.44363033 	0.36927672 	0.38636183 	0.12951935 	0.50955283 	0.62152759 	0.46433129 	0.83657303 	
          65 	0.68945760 	0.23445306 	0.91975608 	0.66334276 	0.84814430 	0.74634412 	0.77270096 	0.34755925 	0.88592370 	0.79955809 	0.67916821 	0.64349005 	0.73837652 	0.51094902 	0.86967885 	0.35707574 	0.20643312 	0.31532907 	0.36906997 	0.30599111 	0.07867645 	0.51006304 	0.16349670 	0.76935064 	
          66 	0.30356977 	0.96590222 	0.83311289 	0.27304145 	0.79544458 	0.27211874 	0.34436259 	0.34543398 	0.90882487 	0.95171414 	0.43829464 	0.43690239 	0.91275110 	0.84381289 	0.31599678 	0.60382915 	0.42028622 	0.28472726 	0.75088412 	0.65886005 	0.07311577 	0.81467807 	0.23436731 	0.52276005 	
          67 	0.08639946 	0.97381898 	0.94412264 	0.35543417 	0.44675642 	0.43730883 	0.87742793 	0.02103315 	0.90470394 	0.59479490 	0.28173354 	0.46112838 	0.87825196 	0.44292789 	0.58077691 	0.82093628 	0.75221440 	0.46939736 	0.94642680 	0.60831508 	0.15952762 	0.66767829 	0.27823507 	0.44390991 	
          68 	0.36721721 	0.96748405 	0.80361780 	0.39086590 	0.16100518 	0.66768949 	0.59659478 	0.54678663 	0.93141911 	0.44417180 	0.17295726 	0.58486379 	0.95664037 	0.67779424 	0.42830899 	0.66932739 	0.81464894 	0.08854795 	0.92629935 	0.25164824 	0.33807872 	0.78662626 	0.11004155 	0.24711608 	
          69 	0.62981222 	0.99816359 	0.76739937 	0.67579960 	0.32719439 	0.38563568 	0.82303363 	0.84654412 	0.86790695 	0.60934749 	0.28944527 	0.21233746 	0.70583539 	0.12978378 	0.13284310 	0.62197043 	0.73680274 	0.24717620 	0.95388255 	0.40377811 	0.69012427 	0.31842277 	0.83149447 	0.09078757 	
          70 	0.12933436 	0.99757232 	0.77386509 	0.41471444 	0.39846818 	0.83259994 	0.45863572 	0.22386233 	0.73667138 	0.68100105 	0.20411125 	0.24754993 	0.83032206 	0.61002093 	0.01219357 	0.61055403 	0.35019896 	0.35853194 	0.93349076 	0.26035615 	0.16252630 	0.00039531 	0.28298188 	0.68247159 	
          71 	0.52261042 	0.99624141 	0.19768948 	0.06335001 	0.23467034 	0.92452929 	0.28737315 	0.52127981 	0.90234451 	0.50798949 	0.02655066 	0.93401502 	0.88315512 	0.82779878 	0.54811720 	0.34072379 	0.22196991 	0.87205006 	0.88103195 	0.77705043 	0.16482033 	0.01124036 	0.17078885 	0.42133268 	
          72 	0.26967474 	0.97731441 	0.42915243 	0.14319342 	0.17466783 	0.30193879 	0.67478422 	0.32899958 	0.92351750 	0.06328365 	0.16137248 	0.95098570 	0.93775615 	0.75060300 	0.77451061 	0.93589270 	0.36392719 	0.24174532 	0.35057065 	0.36228319 	0.16930120 	0.03261615 	0.28586894 	0.35120803 	
          73 	0.84970240 	0.98836114 	0.65357706 	0.05724851 	0.46859748 	0.25466030 	0.46766339 	0.73529670 	0.90425156 	0.85405613 	0.83602794 	0.98499932 	0.84429210 	0.02554195 	0.09883320 	0.87981031 	0.41273135 	0.13953576 	0.74348866 	0.08819858 	0.71318207 	0.13709335 	0.45494860 	0.73063848 	
          74 	0.79081661 	0.94388306 	0.30069918 	0.81186820 	0.39119110 	0.32006999 	0.01402089 	0.01556788 	0.83305987 	0.86440423 	0.72207926 	0.97901119 	0.40522046 	0.24717238 	0.25744630 	0.37645132 	0.27870619 	0.10428762 	0.70181590 	0.34937551 	0.19845456 	0.26916036 	0.23476250 	0.69840699 	
          75 	0.22738012 	0.88238456 	0.20698720 	0.90475539 	0.33168785 	0.32907759 	0.70461570 	0.18539727 	0.77162434 	0.91494895 	0.09940836 	0.92529889 	0.00055439 	0.06076914 	0.56484846 	0.18308718 	0.18910439 	0.36848220 	0.90950284 	0.18252450 	0.15255735 	0.39125358 	0.06219196 	0.64390273 	
          76 	0.36130479 	0.09979377 	0.54639317 	0.95038212 	0.17146543 	0.11183649 	0.90528541 	0.06494895 	0.57574984 	0.84951113 	0.47187759 	0.86826774 	0.01558484 	0.27482856 	0.87068577 	0.44010870 	0.50302578 	0.71502262 	0.93703173 	0.24683269 	0.35767897 	0.60057207 	0.79904429 	0.07146826 	
