#NEXUS

[1 samples from mcmc run generated by language trees. File written 27-Aug-2021 15:46:41]
[This file contains the values of XI at each leaf.]
[For associated trees see same file with .nex extension]
[Sample 	armenian   	lycian   	luvian   	hittite   	oldirish   	welsh   	umbrian   	latin   	oscan   	oldhighgerman   	gothic   	oldenglish   	oldnorse   	lithuanian   	oldprussian   	oldcslavonic   	latvian   	oldpersian   	vedic   	avestan   	tocharian_a   	tocharian_b   	albanian   	greek   	]
         252 	0.78463897 	0.54874757 	0.59224629 	0.68112365 	0.55503414 	0.46608063 	0.49804550 	0.53304814 	0.10020575 	0.02319340 	0.68770685 	0.97181774 	0.36094289 	0.37795003 	0.99607306 	0.10805612 	0.18324094 	0.86567724 	0.32112923 	0.07764491 	0.37639258 	0.34115460 	0.04119183 	0.64977099 	
         253 	0.44789950 	0.67879897 	0.59511107 	0.52983424 	0.54285392 	0.88811648 	0.38340086 	0.72893781 	0.20377799 	0.19793769 	0.06372864 	0.95483068 	0.19982765 	0.90225549 	0.99724193 	0.69605825 	0.21533589 	0.01028951 	0.09249862 	0.42919800 	0.38790002 	0.36149478 	0.60172013 	0.05549074 	
         254 	0.23527979 	0.03026189 	0.26645208 	0.13361667 	0.76559418 	0.89747070 	0.15424908 	0.33606647 	0.21589615 	0.41840990 	0.50535590 	0.61342493 	0.28993598 	0.77466802 	0.99602610 	0.90419886 	0.38764569 	0.26480996 	0.19344010 	0.85033157 	0.67089096 	0.54466041 	0.09558957 	0.01918133 	
         255 	0.44208051 	0.85712517 	0.73800686 	0.38934610 	0.87990043 	0.30020614 	0.83794393 	0.01395275 	0.27355440 	0.43518218 	0.63174597 	0.98131841 	0.60881823 	0.05570284 	0.99728510 	0.87015857 	0.46486324 	0.01501019 	0.81463882 	0.85350964 	0.66195546 	0.13577498 	0.46716128 	0.25165533 	
         256 	0.84943115 	0.55307975 	0.78675976 	0.67115127 	0.93963669 	0.14048521 	0.55666223 	0.15575285 	0.49203723 	0.33581541 	0.65267266 	0.95085296 	0.56289161 	0.49509634 	0.98306800 	0.70086432 	0.01404035 	0.09012628 	0.94233022 	0.88321537 	0.53461447 	0.52703838 	0.20765578 	0.52809051 	
         257 	0.74661552 	0.57003488 	0.84749011 	0.74220476 	0.85224500 	0.05109416 	0.38422463 	0.55717396 	0.22992973 	0.39284597 	0.76155519 	0.94134297 	0.76169232 	0.29021509 	0.96845093 	0.64114317 	0.62593381 	0.01225203 	0.96725661 	0.67628024 	0.22481437 	0.70432255 	0.34765541 	0.81278917 	
         258 	0.37781925 	0.63956189 	0.73528355 	0.64482306 	0.24929630 	0.68017796 	0.66954988 	0.51304212 	0.04645343 	0.39356960 	0.53689032 	0.91045464 	0.37918980 	0.77907150 	0.78573841 	0.42895774 	0.82091219 	0.13279069 	0.91218763 	0.75460113 	0.00668566 	0.16377530 	0.00468362 	0.34358048 	
         259 	0.08141313 	0.41216913 	0.35877101 	0.74168113 	0.56110654 	0.89685652 	0.57334042 	0.62567589 	0.14449402 	0.07434166 	0.16873939 	0.95904235 	0.07939031 	0.91302018 	0.32608183 	0.53326328 	0.87469933 	0.62846955 	0.90746376 	0.13184846 	0.25122129 	0.71371464 	0.65393936 	0.75699037 	
         260 	0.21920787 	0.02129048 	0.68458520 	0.74802700 	0.65283884 	0.88444465 	0.24564032 	0.24244924 	0.82926586 	0.22430581 	0.16094743 	0.91082255 	0.05433258 	0.44774710 	0.16970534 	0.77592290 	0.38490251 	0.46719461 	0.95172282 	0.11303187 	0.13430654 	0.73717892 	0.67795716 	0.91580701 	
         261 	0.26653619 	0.29625925 	0.96282388 	0.30066892 	0.77349509 	0.93463855 	0.54016750 	0.65624083 	0.41015542 	0.92697295 	0.35196103 	0.96650160 	0.04258419 	0.39186049 	0.83193795 	0.48370974 	0.04427141 	0.18535598 	0.89931836 	0.11069412 	0.35940573 	0.92242938 	0.37077675 	0.67782055 	
         262 	0.24767480 	0.74032297 	0.97302826 	0.57663310 	0.83443586 	0.95312686 	0.61532715 	0.01914735 	0.24265615 	0.99440796 	0.39493183 	0.95900507 	0.01319439 	0.70121374 	0.85305778 	0.93506653 	0.24103457 	0.04717495 	0.91244034 	0.34796800 	0.75849785 	0.85297550 	0.21211235 	0.10667515 	
         263 	0.13682268 	0.11820535 	0.98237931 	0.29619810 	0.94446518 	0.73413440 	0.13531734 	0.22928902 	0.00040997 	0.99562541 	0.48718860 	0.92228410 	0.05737947 	0.46508478 	0.30013830 	0.96438289 	0.03904728 	0.32088614 	0.39198322 	0.52450782 	0.83529073 	0.79503264 	0.08137490 	0.12746735 	
         264 	0.15158710 	0.46417614 	0.97211006 	0.30430106 	0.89826002 	0.19795602 	0.23623303 	0.50063028 	0.08811603 	0.98954530 	0.10755213 	0.93320020 	0.70061530 	0.36379679 	0.32477765 	0.96054964 	0.65743484 	0.63652841 	0.40670317 	0.18013760 	0.61757250 	0.49498618 	0.04375024 	0.89765233 	
         265 	0.33951290 	0.18734011 	0.95267930 	0.71879549 	0.94560840 	0.65593354 	0.90317916 	0.60218269 	0.08677708 	0.96512584 	0.23889814 	0.95508677 	0.76115736 	0.61108434 	0.60762436 	0.69555129 	0.36153548 	0.16606946 	0.27415054 	0.21191705 	0.76484755 	0.45266464 	0.66114592 	0.30617807 	
         266 	0.79248227 	0.08115238 	0.97066706 	0.96670248 	0.95476798 	0.58679895 	0.87101286 	0.65003922 	0.51166463 	0.91017715 	0.58847270 	0.97499348 	0.81942152 	0.65092741 	0.17500442 	0.64703890 	0.04398211 	0.83964044 	0.27033921 	0.18434493 	0.85388508 	0.03203331 	0.61902449 	0.22622076 	
         267 	0.51096463 	0.72705622 	0.84763178 	0.91864063 	0.90861785 	0.09167025 	0.84163205 	0.75263472 	0.69122700 	0.88143293 	0.25016035 	0.99535705 	0.95286910 	0.47698914 	0.37393357 	0.82925048 	0.36111177 	0.71720319 	0.44561636 	0.47764065 	0.79230334 	0.71379636 	0.84289638 	0.73314621 	
         268 	0.22086947 	0.36655290 	0.75644677 	0.96153544 	0.91457840 	0.68036183 	0.41530510 	0.63310117 	0.25551365 	0.54950975 	0.28328640 	0.99559063 	0.96989478 	0.62724871 	0.55790512 	0.11901594 	0.29951046 	0.75841470 	0.91755169 	0.02217102 	0.01752247 	0.54956002 	0.87593080 	0.02453866 	
         269 	0.24045062 	0.41395651 	0.89716668 	0.86037870 	0.76879951 	0.61334290 	0.40456937 	0.92737389 	0.76488984 	0.89399343 	0.57127720 	0.97701138 	0.90555974 	0.10577975 	0.35138035 	0.35825846 	0.24054636 	0.74053666 	0.46753390 	0.66135306 	0.51914247 	0.15664885 	0.44870966 	0.22880000 	
         270 	0.57457157 	0.63099175 	0.82204985 	0.76563307 	0.23390112 	0.30290259 	0.28491670 	0.93337715 	0.75105651 	0.90525793 	0.28512373 	0.92500253 	0.54879202 	0.28937779 	0.11731597 	0.81946090 	0.01930902 	0.82599171 	0.71099018 	0.60687374 	0.64194067 	0.53737218 	0.09972580 	0.27970913 	
         271 	0.15766218 	0.35609448 	0.75420592 	0.14556988 	0.60546269 	0.79095937 	0.34328307 	0.88022318 	0.77017559 	0.98336763 	0.58681895 	0.89556452 	0.11881820 	0.54668942 	0.05466483 	0.93660129 	0.42838527 	0.37963043 	0.15460317 	0.68310405 	0.55260519 	0.00678480 	0.49704238 	0.33926574 	
         272 	0.18107718 	0.44910459 	0.80966762 	0.41692703 	0.39004721 	0.50206390 	0.13573348 	0.49145239 	0.83488930 	0.97951731 	0.31758758 	0.88770308 	0.24666549 	0.68052064 	0.74627301 	0.91578837 	0.04028935 	0.42849123 	0.06841386 	0.64203994 	0.28224297 	0.14352933 	0.52179520 	0.39615211 	
         273 	0.66525662 	0.24800222 	0.93876130 	0.47827436 	0.74753015 	0.59329398 	0.40561090 	0.55464859 	0.97230012 	0.96480362 	0.27896005 	0.73999966 	0.16020508 	0.28837015 	0.93645354 	0.59262184 	0.50094352 	0.66256832 	0.54608206 	0.37332284 	0.40703285 	0.16160648 	0.70264306 	0.39367596 	
         274 	0.90478559 	0.22530370 	0.81656755 	0.85487751 	0.37637951 	0.73683547 	0.18226200 	0.78610771 	0.96843931 	0.59561691 	0.19366422 	0.93069056 	0.34899482 	0.19246767 	0.84537649 	0.49373457 	0.41148923 	0.24358318 	0.36328729 	0.57920021 	0.08482784 	0.37826796 	0.44832810 	0.47694468 	
         275 	0.64990505 	0.25890834 	0.68365787 	0.48599820 	0.34659274 	0.69874515 	0.38376328 	0.70436651 	0.95887286 	0.62899201 	0.35731969 	0.84371177 	0.64966859 	0.22869414 	0.00126265 	0.15561414 	0.52719532 	0.78542784 	0.60970352 	0.62585164 	0.70614169 	0.62602693 	0.41387274 	0.19506416 	
         276 	0.84343549 	0.14978046 	0.63534482 	0.64653840 	0.06392272 	0.86162158 	0.36346994 	0.68393109 	0.97500284 	0.38302052 	0.11891718 	0.01787435 	0.07560626 	0.02189027 	0.36230424 	0.07500069 	0.22969247 	0.06819409 	0.32061447 	0.11929899 	0.50283095 	0.30289137 	0.34898575 	0.28744607 	
         277 	0.12406779 	0.51584666 	0.88383911 	0.65576159 	0.37923959 	0.64393034 	0.16693203 	0.77871255 	0.94201204 	0.87895870 	0.30029350 	0.23448659 	0.91638387 	0.76462154 	0.67434444 	0.63033083 	0.33220602 	0.52675779 	0.61785982 	0.26062599 	0.09747847 	0.23260932 	0.15784160 	0.22969992 	
         278 	0.52584833 	0.59727741 	0.49571704 	0.83736734 	0.21785333 	0.65091744 	0.80133576 	0.25019641 	0.91535717 	0.75478994 	0.68340913 	0.18137706 	0.73613248 	0.58910845 	0.84709096 	0.68650231 	0.45279787 	0.68706427 	0.70827190 	0.49675600 	0.27397217 	0.19663473 	0.15781079 	0.11484676 	
         279 	0.52299100 	0.08498143 	0.12345046 	0.37904471 	0.35935983 	0.56744456 	0.95030723 	0.09422194 	0.76522768 	0.22228962 	0.56775893 	0.05426612 	0.75930281 	0.01766314 	0.97216012 	0.41467066 	0.50109762 	0.51803165 	0.65569515 	0.65284900 	0.01333946 	0.28504037 	0.84804326 	0.61277758 	
         280 	0.40844182 	0.63221779 	0.13423024 	0.61838443 	0.18113656 	0.34293716 	0.52210586 	0.59788263 	0.88558124 	0.62546611 	0.39760389 	0.50693898 	0.41986927 	0.04086390 	0.95242654 	0.08303253 	0.13794080 	0.20101516 	0.34938982 	0.37526180 	0.36727061 	0.20957120 	0.67911052 	0.43677373 	
         281 	0.46832769 	0.39003738 	0.11156070 	0.23638950 	0.35569668 	0.53455970 	0.70209971 	0.34790754 	0.95050395 	0.09782612 	0.42992966 	0.74521721 	0.31278479 	0.05133151 	0.84386919 	0.05423474 	0.31136044 	0.06668177 	0.35866551 	0.32279409 	0.84597851 	0.01973631 	0.53953084 	0.15436203 	
         282 	0.61379870 	0.40094839 	0.10738688 	0.42616906 	0.26210326 	0.84314851 	0.21683905 	0.69613446 	0.99016224 	0.05023933 	0.49886884 	0.79711750 	0.06760579 	0.39623711 	0.82771014 	0.84801454 	0.65466133 	0.20902811 	0.50648172 	0.71117846 	0.46692114 	0.15942059 	0.01578410 	0.39975548 	
         283 	0.39590935 	0.47595350 	0.03500097 	0.00775637 	0.48696671 	0.36764908 	0.46413171 	0.15843224 	0.98969496 	0.04430711 	0.45503309 	0.32313088 	0.05403606 	0.81501997 	0.55822483 	0.92567266 	0.84921355 	0.74535192 	0.00307760 	0.34429136 	0.38771021 	0.12364938 	0.11526064 	0.15661251 	
         284 	0.63766664 	0.28031020 	0.05681597 	0.80903963 	0.09378741 	0.55974729 	0.44833949 	0.43945017 	0.99323570 	0.24186231 	0.39126131 	0.04571088 	0.05545650 	0.85191851 	0.45824599 	0.99606401 	0.40535705 	0.81113599 	0.01782660 	0.51458345 	0.89828324 	0.49552394 	0.71144558 	0.45434120 	
         285 	0.10412245 	0.58816655 	0.52710272 	0.84343289 	0.18045216 	0.28562662 	0.60110690 	0.60228858 	0.98167281 	0.87496430 	0.02378666 	0.70380530 	0.48195953 	0.82396035 	0.66242716 	0.97152163 	0.10427824 	0.41635584 	0.07157435 	0.90104259 	0.53858743 	0.58735165 	0.07815937 	0.11727222 	
         286 	0.06795062 	0.38021974 	0.27294914 	0.37497112 	0.67916853 	0.87096177 	0.94964138 	0.77736670 	0.96032422 	0.77882669 	0.07019472 	0.48430111 	0.86428598 	0.77485442 	0.51462185 	0.99734589 	0.49659191 	0.58224035 	0.60084042 	0.48476976 	0.16760153 	0.26483129 	0.38207697 	0.71911800 	
         287 	0.68124047 	0.11108303 	0.20671880 	0.73717726 	0.14390225 	0.93330416 	0.98483578 	0.06344922 	0.86006513 	0.91838795 	0.01880528 	0.15020143 	0.17864379 	0.09870822 	0.74210613 	0.99674274 	0.45367121 	0.66475043 	0.28543584 	0.55578165 	0.39817053 	0.40330338 	0.27132525 	0.27192107 	
         288 	0.49265877 	0.11502848 	0.82158555 	0.55643361 	0.74524635 	0.81315575 	0.97814493 	0.05181754 	0.92335593 	0.73164501 	0.95140955 	0.39569285 	0.08044582 	0.10233842 	0.55645558 	0.99765473 	0.25315458 	0.67644681 	0.18355737 	0.48666223 	0.35466444 	0.07413781 	0.42667474 	0.26214904 	
         289 	0.87454285 	0.11636311 	0.95651921 	0.61808328 	0.79039158 	0.94538122 	0.89264300 	0.12585998 	0.96443710 	0.93329230 	0.96656764 	0.06980197 	0.30347448 	0.14967429 	0.68010723 	0.91359214 	0.22498453 	0.70271229 	0.50463125 	0.74009664 	0.09938651 	0.81095673 	0.45381772 	0.30038579 	
         290 	0.13879463 	0.56234873 	0.97672243 	0.01159258 	0.57264957 	0.72429697 	0.50654672 	0.14682479 	0.90046842 	0.74156478 	0.83773060 	0.00228568 	0.77374980 	0.63318924 	0.22323007 	0.92353978 	0.73668517 	0.94756705 	0.46873148 	0.63343456 	0.09983808 	0.03021755 	0.35020321 	0.90957280 	
         291 	0.81029246 	0.48876783 	0.94530056 	0.29165043 	0.74716860 	0.63675387 	0.24805151 	0.04620118 	0.94990254 	0.43664774 	0.10839251 	0.57348581 	0.71868478 	0.83106287 	0.76954237 	0.66481159 	0.45612349 	0.90019413 	0.05437239 	0.82261714 	0.05621661 	0.10976583 	0.34736495 	0.72592532 	
         292 	0.69489325 	0.09813001 	0.77182160 	0.32541129 	0.28252868 	0.23580454 	0.37300067 	0.16355389 	0.88965970 	0.10874482 	0.09266567 	0.60545614 	0.77508528 	0.83239674 	0.63627901 	0.33020677 	0.06567834 	0.89554432 	0.29636972 	0.79963424 	0.14666890 	0.63900842 	0.63945424 	0.74569224 	
         293 	0.34212419 	0.23072477 	0.15614806 	0.71943810 	0.38615416 	0.71217842 	0.09615422 	0.02154124 	0.74446011 	0.10657115 	0.07739190 	0.62430902 	0.43573831 	0.91834447 	0.62084132 	0.07695026 	0.46018193 	0.51556815 	0.27379063 	0.92040012 	0.11489073 	0.82949806 	0.77919663 	0.69269244 	
         294 	0.15956617 	0.00161181 	0.15637989 	0.87211082 	0.41066727 	0.56560533 	0.34155953 	0.69229043 	0.10695100 	0.62065221 	0.23840473 	0.44210130 	0.69687027 	0.14072833 	0.35652854 	0.72130743 	0.80286223 	0.06723969 	0.45135834 	0.73419403 	0.32303486 	0.69035043 	0.07299257 	0.34954668 	
         295 	0.67066839 	0.65010572 	0.33945344 	0.68430619 	0.91636410 	0.72708549 	0.23060751 	0.56235179 	0.71912129 	0.70164415 	0.39107716 	0.66998926 	0.56891288 	0.76290459 	0.36839783 	0.13498009 	0.74355207 	0.67778282 	0.20519259 	0.81006870 	0.05631635 	0.06439134 	0.07373783 	0.14357266 	
         296 	0.81631099 	0.13664628 	0.65645685 	0.20598017 	0.84825631 	0.38044438 	0.04954341 	0.23151082 	0.41759969 	0.56798822 	0.52606983 	0.16621791 	0.42338744 	0.68348673 	0.67285692 	0.53929151 	0.33481036 	0.82772377 	0.60747569 	0.67398906 	0.60727404 	0.41195656 	0.85616617 	0.01904209 	
         297 	0.51001514 	0.32008629 	0.23389832 	0.03684411 	0.75453963 	0.38142704 	0.42660365 	0.29183305 	0.11744053 	0.47567345 	0.39189476 	0.63555728 	0.64387373 	0.19148043 	0.79403173 	0.25924066 	0.53004305 	0.46962825 	0.20070180 	0.87866696 	0.07784175 	0.16401674 	0.81026777 	0.28115069 	
         298 	0.08314012 	0.24329672 	0.42782801 	0.21558892 	0.70637338 	0.63893689 	0.92392150 	0.64296541 	0.50346525 	0.25129772 	0.64606654 	0.41955029 	0.12211293 	0.18506672 	0.38232373 	0.18672276 	0.68858853 	0.23406609 	0.20972579 	0.39559967 	0.07348772 	0.02140595 	0.11664081 	0.79501029 	
         299 	0.23485766 	0.65380420 	0.33328563 	0.15413035 	0.69827189 	0.22190345 	0.85219905 	0.16767576 	0.58322457 	0.22531920 	0.24813513 	0.14388855 	0.35020230 	0.21481496 	0.05671697 	0.21923931 	0.16112154 	0.70781245 	0.57976194 	0.30791226 	0.49572334 	0.31129468 	0.81860791 	0.25139393 	
         300 	0.34405965 	0.01147137 	0.13688497 	0.68930081 	0.39817331 	0.21810304 	0.89842902 	0.03348366 	0.61540777 	0.92173941 	0.21584704 	0.72240079 	0.05083360 	0.85857034 	0.15083315 	0.50273361 	0.45289300 	0.26145348 	0.34619126 	0.09079830 	0.30141096 	0.52609906 	0.15868205 	0.38586629 	
         301 	0.69140959 	0.12606124 	0.09219554 	0.63265104 	0.79192073 	0.54489135 	0.35057664 	0.43513555 	0.32580738 	0.73859372 	0.04302766 	0.20703550 	0.14018543 	0.55497808 	0.64099802 	0.47436173 	0.45907183 	0.18612924 	0.00298097 	0.26750837 	0.48734824 	0.83877000 	0.32187451 	0.26285269 	
         302 	0.04404868 	0.72662527 	0.29528822 	0.71219718 	0.58122954 	0.63414673 	0.60638377 	0.65008202 	0.09888005 	0.51784182 	0.36768248 	0.33033599 	0.56919609 	0.50239372 	0.31798898 	0.43482708 	0.18089317 	0.69080704 	0.44600093 	0.18937277 	0.47463926 	0.91384825 	0.04388853 	0.06892474 	
         303 	0.73867787 	0.78854532 	0.35239311 	0.86815646 	0.54184947 	0.26239521 	0.66656508 	0.49272986 	0.13521600 	0.33792937 	0.12187637 	0.38838900 	0.18834616 	0.17037730 	0.63910694 	0.42191171 	0.46896740 	0.76552747 	0.06015022 	0.08562582 	0.93381225 	0.93387707 	0.23882965 	0.86381814 	
         304 	0.55870093 	0.89570474 	0.62206811 	0.56634999 	0.02316324 	0.05057782 	0.07164159 	0.51545584 	0.05713119 	0.52912491 	0.04574064 	0.82217567 	0.60375406 	0.01859909 	0.73755153 	0.59220360 	0.54560111 	0.37814228 	0.05337047 	0.58849678 	0.93848253 	0.93326033 	0.29053229 	0.12780453 	
         305 	0.10160302 	0.38447930 	0.20451770 	0.39559776 	0.43845660 	0.09717144 	0.52185602 	0.49872499 	0.71812599 	0.05959505 	0.52744456 	0.70395255 	0.28582871 	0.57971531 	0.08845410 	0.86862482 	0.56065667 	0.26434609 	0.94101053 	0.23132611 	0.91756208 	0.36691710 	0.50354081 	0.72410111 	
         306 	0.81704274 	0.30546281 	0.05229710 	0.73798106 	0.40824594 	0.31149937 	0.63098592 	0.66367915 	0.69980485 	0.67448639 	0.47724021 	0.90465152 	0.87405751 	0.48888823 	0.34416813 	0.87932013 	0.03139833 	0.62739273 	0.69354387 	0.39179634 	0.90731361 	0.06296577 	0.13873896 	0.83935252 	
         307 	0.74899881 	0.07445722 	0.63552940 	0.06146578 	0.24036043 	0.48105228 	0.61214379 	0.04666780 	0.36496823 	0.50943705 	0.04048455 	0.31489119 	0.76943322 	0.71463201 	0.40305641 	0.93967730 	0.12290565 	0.18358434 	0.77965644 	0.34352862 	0.94403617 	0.25204475 	0.19131445 	0.90347162 	
         308 	0.87219150 	0.13434107 	0.59178934 	0.08924826 	0.18573955 	0.06399445 	0.93155084 	0.86116856 	0.57976564 	0.84886016 	0.04082447 	0.43727516 	0.94138494 	0.77924887 	0.20396504 	0.68253224 	0.02211679 	0.46686348 	0.73838499 	0.54815983 	0.81093181 	0.56056333 	0.29331576 	0.50760261 	
         309 	0.73638761 	0.70681512 	0.45034326 	0.20690891 	0.10925721 	0.73547458 	0.89972724 	0.86786167 	0.18596936 	0.69074700 	0.20023720 	0.36763563 	0.89273838 	0.32529995 	0.55687211 	0.82230104 	0.80089196 	0.16618511 	0.06997078 	0.78314781 	0.85931040 	0.48424328 	0.17922872 	0.46358553 	
         310 	0.80248422 	0.87742655 	0.10976175 	0.74355102 	0.03369568 	0.52724837 	0.88286338 	0.13206096 	0.66614721 	0.91790447 	0.72178718 	0.75875198 	0.74046115 	0.35688622 	0.08930102 	0.92762490 	0.76754961 	0.35574887 	0.50896375 	0.38005767 	0.18894293 	0.45661374 	0.78788415 	0.90533541 	
         311 	0.85057356 	0.50370354 	0.60872395 	0.64816993 	0.39381062 	0.09489321 	0.27782693 	0.19794657 	0.75560049 	0.78340137 	0.50904366 	0.58167388 	0.32481780 	0.66326195 	0.26237474 	0.64483095 	0.35566470 	0.06650681 	0.07229283 	0.81679526 	0.51196755 	0.11860318 	0.30064603 	0.56987050 	
         312 	0.08197172 	0.31486125 	0.27276103 	0.86395431 	0.14030546 	0.32794078 	0.02650130 	0.26275409 	0.92327413 	0.40724009 	0.07670868 	0.70904526 	0.78041096 	0.59475555 	0.04642006 	0.34127367 	0.46496115 	0.08616265 	0.50345729 	0.23277944 	0.85582285 	0.07202153 	0.13455831 	0.49598875 	
         313 	0.01073139 	0.60704687 	0.39066409 	0.54279774 	0.08198607 	0.11266604 	0.42920732 	0.45757595 	0.98121178 	0.77357270 	0.64139528 	0.67137160 	0.91289979 	0.78856497 	0.57591066 	0.56107536 	0.92416452 	0.21734931 	0.72640654 	0.70285574 	0.45487262 	0.06885240 	0.63463209 	0.32655858 	
         314 	0.50912923 	0.83937808 	0.36153456 	0.01911525 	0.03892730 	0.28549644 	0.43086206 	0.01612852 	0.98568249 	0.88570475 	0.57726254 	0.73895091 	0.65429508 	0.94156816 	0.32666625 	0.29103589 	0.83085263 	0.88170264 	0.61793898 	0.63874958 	0.13482299 	0.16545222 	0.82784731 	0.33590223 	
         315 	0.49361667 	0.83743577 	0.45456167 	0.71865343 	0.38532054 	0.29427956 	0.01414612 	0.18663157 	0.98361021 	0.65195469 	0.15134922 	0.72704140 	0.73290517 	0.81810881 	0.18053173 	0.00933358 	0.84981201 	0.81479146 	0.46516580 	0.71440244 	0.22459514 	0.47223025 	0.89264373 	0.21250677 	
         316 	0.60428625 	0.72074944 	0.70884906 	0.77851082 	0.35795188 	0.09383484 	0.24256756 	0.65351994 	0.96978176 	0.19326399 	0.40765404 	0.90847723 	0.53017620 	0.74104832 	0.03676358 	0.32139373 	0.33964030 	0.73828242 	0.13539679 	0.21866167 	0.87357229 	0.21850318 	0.79353549 	0.15455045 	
         317 	0.52808284 	0.48768200 	0.19298096 	0.72713497 	0.43400539 	0.68608965 	0.54527426 	0.04178866 	0.96926514 	0.50768357 	0.36773578 	0.00102348 	0.43448895 	0.22380288 	0.73997550 	0.60972843 	0.45411043 	0.17282918 	0.04192938 	0.55510766 	0.19983063 	0.53354504 	0.95681028 	0.07087748 	
         318 	0.78321289 	0.67135604 	0.53177924 	0.86876025 	0.22464452 	0.96712724 	0.56686755 	0.43690462 	0.98749635 	0.64678958 	0.36114632 	0.50271347 	0.08605626 	0.36216560 	0.45003661 	0.59028174 	0.54539718 	0.36721786 	0.55449324 	0.75292513 	0.20303519 	0.19788679 	0.95439441 	0.56742218 	
         319 	0.32676662 	0.55580846 	0.46950583 	0.26719027 	0.22539060 	0.93514366 	0.83823992 	0.35944717 	0.99374437 	0.08207036 	0.12752067 	0.40283902 	0.42557130 	0.34367503 	0.84301022 	0.11664185 	0.44983766 	0.36267233 	0.69033225 	0.87158212 	0.68225911 	0.00062072 	0.92179726 	0.12618119 	
         320 	0.18218670 	0.84389264 	0.55024813 	0.84098152 	0.77920436 	0.66316872 	0.50277075 	0.39429048 	0.97348484 	0.37380811 	0.69337515 	0.67715234 	0.69281057 	0.45574977 	0.14838736 	0.49191872 	0.35618298 	0.39502201 	0.80500866 	0.87522810 	0.06576192 	0.12692065 	0.86247763 	0.43510930 	
         321 	0.32554653 	0.54812293 	0.77659135 	0.77644581 	0.05625014 	0.92205217 	0.22624665 	0.06137312 	0.95327000 	0.37150182 	0.45510007 	0.84814559 	0.51266106 	0.60208118 	0.27435007 	0.24227426 	0.31699189 	0.19476152 	0.75035023 	0.75747536 	0.15251092 	0.03322124 	0.76634177 	0.70653602 	
         322 	0.64177623 	0.91739155 	0.85325826 	0.59696836 	0.26733210 	0.92993471 	0.48953318 	0.31504337 	0.92698599 	0.26578444 	0.82610268 	0.85708915 	0.26659973 	0.86499265 	0.51696295 	0.36332881 	0.36889411 	0.03072097 	0.69442275 	0.78567847 	0.42649268 	0.38658929 	0.71608516 	0.94541252 	
         323 	0.09496788 	0.89722538 	0.48855838 	0.46409266 	0.40688542 	0.67832588 	0.41294905 	0.53621724 	0.56150926 	0.08936796 	0.44422463 	0.95517510 	0.27790094 	0.75756645 	0.01833956 	0.60006881 	0.87211373 	0.57390965 	0.85837547 	0.36121766 	0.77864996 	0.11030546 	0.55982683 	0.89314867 	
         324 	0.19439406 	0.86953317 	0.63405985 	0.17717419 	0.83576732 	0.63168397 	0.57489781 	0.58505407 	0.35721249 	0.05457287 	0.65365640 	0.68415744 	0.39978512 	0.81991917 	0.48109497 	0.52592967 	0.82808902 	0.60037401 	0.62361863 	0.10020151 	0.01957751 	0.33872883 	0.88318817 	0.94082847 	
         325 	0.72780563 	0.62941292 	0.41626099 	0.07685349 	0.95383766 	0.82942657 	0.75502277 	0.41538343 	0.05070832 	0.07389338 	0.52944084 	0.14944460 	0.14981476 	0.88636630 	0.84864144 	0.85371647 	0.93833188 	0.50628503 	0.33609013 	0.90744567 	0.15401128 	0.63290840 	0.81308763 	0.84008836 	
         326 	0.17855543 	0.27762706 	0.36457353 	0.75984718 	0.98158278 	0.77673057 	0.57498156 	0.58627552 	0.24382303 	0.22802025 	0.33145229 	0.42147051 	0.66887135 	0.49262241 	0.87843565 	0.21799465 	0.74256500 	0.47072892 	0.30788515 	0.80747293 	0.19982364 	0.13399225 	0.15449855 	0.58859648 	
         327 	0.48571336 	0.61242725 	0.19824777 	0.51283657 	0.98099334 	0.59636528 	0.85715963 	0.66184027 	0.01186006 	0.19272374 	0.69912506 	0.04899471 	0.17792625 	0.10414716 	0.67746273 	0.09041293 	0.56875916 	0.81639413 	0.05199547 	0.90600201 	0.67415193 	0.60941833 	0.31865465 	0.45628881 	
         328 	0.34595485 	0.59693013 	0.02162014 	0.32437740 	0.95361817 	0.44428012 	0.90398943 	0.75661978 	0.52362917 	0.09135118 	0.54004776 	0.18415537 	0.46005852 	0.63363211 	0.86442297 	0.19938287 	0.88063369 	0.36561112 	0.26680328 	0.93661922 	0.71343303 	0.03433554 	0.17283097 	0.77180671 	
         329 	0.42884320 	0.48278879 	0.73276870 	0.79901810 	0.96954438 	0.59303211 	0.91039878 	0.55796708 	0.71076315 	0.15263126 	0.37219992 	0.42636479 	0.62769021 	0.37428844 	0.84201029 	0.78486104 	0.95896148 	0.32864079 	0.39272442 	0.99081720 	0.89924304 	0.44871099 	0.07078794 	0.77151404 	
         330 	0.72185400 	0.44184742 	0.39297922 	0.64604172 	0.36337101 	0.52205706 	0.86100619 	0.81107136 	0.39550203 	0.24107339 	0.12518720 	0.07468921 	0.90384777 	0.02742763 	0.01439044 	0.54323704 	0.88982577 	0.03800064 	0.29801231 	0.99676549 	0.61262196 	0.64345329 	0.36326839 	0.21171208 	
