#NEXUS

[1 samples from mcmc run generated by language trees. File written 27-Aug-2021 15:40:33]
[This file contains the values of XI at each leaf.]
[For associated trees see same file with .nex extension]
[Sample 	armenian   	lycian   	hittite   	luvian   	oldirish   	welsh   	oscan   	latin   	umbrian   	oldenglish   	gothic   	oldhighgerman   	oldnorse   	lithuanian   	oldprussian   	oldcslavonic   	latvian   	oldpersian   	vedic   	avestan   	tocharian_b   	tocharian_a   	albanian   	greek   	]
          21 	0.99663403 	0.15465070 	0.91990443 	0.56394262 	0.97590504 	0.99956739 	0.23721416 	0.99741271 	0.32558190 	0.99731164 	0.88082733 	0.99935708 	0.99435932 	0.99892734 	0.89874802 	0.98842062 	0.99069921 	0.41183164 	0.99821651 	0.95391254 	0.94917841 	0.87605698 	0.99988829 	0.99439816 	
          22 	0.99643033 	0.15440180 	0.91988084 	0.56381424 	0.96315526 	0.99960565 	0.22849043 	0.99692783 	0.32538333 	0.99722781 	0.87145659 	0.99963307 	0.99591221 	0.99461274 	0.83746792 	0.98713699 	0.98197112 	0.45915909 	0.99738014 	0.93196122 	0.95962898 	0.88319629 	0.99986001 	0.99641263 	
          23 	0.99684961 	0.14514821 	0.90340102 	0.51183463 	0.98157380 	0.99883603 	0.23103650 	0.99700124 	0.34608105 	0.99581775 	0.87004991 	0.99873971 	0.99540842 	0.99747310 	0.87030397 	0.99104220 	0.99446184 	0.44701178 	0.99905493 	0.95292734 	0.96264666 	0.90160884 	0.99995739 	0.99179019 	
          24 	0.99880335 	0.14390443 	0.92329931 	0.54912787 	0.98716087 	0.99671065 	0.28678659 	0.99732554 	0.27741825 	0.99747173 	0.89525289 	0.99782972 	0.99701832 	0.99882048 	0.86906023 	0.99045615 	0.99361563 	0.39389316 	0.99954698 	0.96079613 	0.95314955 	0.88500380 	0.99999169 	0.99460120 	
          25 	0.99903489 	0.12895798 	0.91945065 	0.46003232 	0.99468080 	0.99754891 	0.27433469 	0.99936489 	0.29287343 	0.99097793 	0.90300580 	0.99681949 	0.99846238 	0.99852565 	0.86677418 	0.98963450 	0.97276897 	0.38331123 	0.99831914 	0.94486885 	0.94182982 	0.93184251 	0.99998516 	0.99411598 	
          26 	0.99929748 	0.12061254 	0.92330137 	0.45485890 	0.99046955 	0.99920389 	0.26238710 	0.99945265 	0.28609846 	0.99267929 	0.89362503 	0.99687219 	0.99524819 	0.99843291 	0.87430358 	0.99026723 	0.98944177 	0.40978275 	0.99249635 	0.96624210 	0.96371053 	0.88816153 	0.99971533 	0.99220838 	
          27 	0.99428935 	0.12195112 	0.89633347 	0.49951755 	0.98689944 	0.99959737 	0.25268059 	0.99993051 	0.30374329 	0.99662362 	0.89758683 	0.99579460 	0.99823168 	0.99972308 	0.90628924 	0.98854992 	0.99663165 	0.41793719 	0.98578592 	0.93950934 	0.94235930 	0.88526838 	0.99970560 	0.99443863 	
          28 	0.98806643 	0.13268624 	0.89909349 	0.51284241 	0.98637929 	0.99963232 	0.26587800 	0.99988949 	0.32510265 	0.99722056 	0.88620699 	0.99672294 	0.99950388 	0.99946838 	0.84309834 	0.98425357 	0.99522715 	0.40310278 	0.99740628 	0.94611669 	0.96724272 	0.87346020 	0.99833740 	0.99347440 	
          29 	0.99694362 	0.11266933 	0.90099187 	0.53691897 	0.97930594 	0.99906143 	0.24893506 	0.99999569 	0.29291873 	0.99858918 	0.91185611 	0.99885575 	0.99889033 	0.99816099 	0.86041298 	0.98450572 	0.99402983 	0.40461844 	0.99763950 	0.92347028 	0.96668035 	0.89594457 	0.99806124 	0.99615686 	
          30 	0.99766776 	0.12364305 	0.89773461 	0.53876128 	0.97901909 	0.99812828 	0.26097215 	0.99999725 	0.28866538 	0.99942709 	0.90394952 	0.99916744 	0.99923341 	0.99849410 	0.89080461 	0.99358523 	0.99681734 	0.39980537 	0.99804772 	0.95476937 	0.96280259 	0.90001818 	0.99870457 	0.99845725 	
          31 	0.99737167 	0.10438804 	0.90490514 	0.56682987 	0.98450690 	0.99863368 	0.24473448 	0.99994944 	0.31199366 	0.99958288 	0.90776779 	0.99784324 	0.99553432 	0.99976056 	0.84949223 	0.99221594 	0.99563982 	0.38661810 	0.99959153 	0.95179439 	0.92918015 	0.91052784 	0.99965845 	0.99872736 	
          32 	0.99824220 	0.14890523 	0.95219926 	0.52133875 	0.99275338 	0.99830592 	0.26407188 	0.99956035 	0.36038654 	0.99974303 	0.87266615 	0.99679601 	0.99520174 	0.99969094 	0.88429942 	0.99111392 	0.99806688 	0.40690555 	0.99973225 	0.95292587 	0.93907896 	0.90051119 	0.99976795 	0.99967909 	
          33 	0.99667760 	0.14309042 	0.91068763 	0.51881202 	0.99589107 	0.99899930 	0.22089989 	0.99924683 	0.34655116 	0.99961481 	0.88744254 	0.99808375 	0.99080444 	0.99985898 	0.89652539 	0.99352017 	0.99833164 	0.40285343 	0.99985990 	0.94493535 	0.96443680 	0.92521346 	0.99684758 	0.99959290 	
          34 	0.99430308 	0.13618420 	0.92394455 	0.53678098 	0.99027227 	0.99772397 	0.21319348 	0.99924303 	0.34128472 	0.99967098 	0.88998150 	0.99960926 	0.99216776 	0.99948931 	0.88293369 	0.99058455 	0.99718149 	0.39804076 	0.99858267 	0.92217390 	0.95832210 	0.95905080 	0.98985945 	0.99907582 	
          35 	0.99288990 	0.14124065 	0.93566208 	0.51374382 	0.98903582 	0.99730066 	0.25305969 	0.99629336 	0.31567534 	0.99615694 	0.90572226 	0.99975771 	0.99794796 	0.99927224 	0.84645464 	0.98417907 	0.98812827 	0.40584214 	0.99729647 	0.96289655 	0.94623980 	0.91287919 	0.98931296 	0.99818675 	
          36 	0.99569448 	0.11501251 	0.91513438 	0.52403073 	0.97963830 	0.99734238 	0.24743904 	0.99325994 	0.31052586 	0.99496829 	0.86396539 	0.99990603 	0.99913954 	0.99691249 	0.82134233 	0.98035558 	0.98803894 	0.40137116 	0.99816206 	0.95120017 	0.94915260 	0.90971124 	0.99959673 	0.99723893 	
          37 	0.99137424 	0.14093109 	0.90142808 	0.54199538 	0.99015893 	0.99698817 	0.25938347 	0.99801885 	0.32128348 	0.98636105 	0.89275299 	0.99989113 	0.99769062 	0.99545803 	0.87670202 	0.99173836 	0.99528158 	0.41071135 	0.99657993 	0.93138715 	0.95695623 	0.89372654 	0.99975387 	0.99704709 	
          38 	0.99396217 	0.13005277 	0.89381038 	0.53887595 	0.97786193 	0.99497546 	0.25433920 	0.99863230 	0.31666080 	0.99601207 	0.88688742 	0.99979292 	0.99575829 	0.99901797 	0.87415797 	0.98004497 	0.99496228 	0.44751217 	0.99426939 	0.94655259 	0.93828958 	0.91370847 	0.99929389 	0.99738509 	
          39 	0.99563515 	0.11469244 	0.93023920 	0.57756031 	0.98718851 	0.99835935 	0.24372101 	0.99799215 	0.31268800 	0.99478876 	0.92091064 	0.99980515 	0.99851716 	0.99747983 	0.90896799 	0.98690904 	0.99970076 	0.42297670 	0.99663583 	0.93945213 	0.95659991 	0.90065698 	0.99979590 	0.99890711 	
          40 	0.99109031 	0.10620469 	0.91873937 	0.48592108 	0.98316468 	0.99828606 	0.23647031 	0.99739381 	0.30609850 	0.99657424 	0.86101029 	0.99980698 	0.99859678 	0.99671716 	0.89121842 	0.97960517 	0.99961400 	0.41744458 	0.98822721 	0.94554897 	0.96113341 	0.90395199 	0.99953391 	0.99872496 	
          41 	0.99253806 	0.11363406 	0.91832202 	0.53221888 	0.99273993 	0.99531588 	0.24281689 	0.99605610 	0.31186632 	0.99555401 	0.89536232 	0.99822467 	0.99930790 	0.99426873 	0.87311956 	0.97671412 	0.99973721 	0.40892292 	0.99196566 	0.95044142 	0.94564690 	0.89999036 	0.99797831 	0.99900465 	
          42 	0.99755633 	0.12962737 	0.92554643 	0.54310373 	0.99018582 	0.98964732 	0.26043586 	0.99110645 	0.32787857 	0.99663567 	0.88686174 	0.99937342 	0.99621842 	0.99746430 	0.83231739 	0.97871753 	0.99983948 	0.38115737 	0.98684581 	0.94698014 	0.96267577 	0.91122864 	0.99841416 	0.99936959 	
          43 	0.99912120 	0.13631342 	0.91134322 	0.51370231 	0.98485439 	0.99721666 	0.26872380 	0.98697256 	0.35582453 	0.99010470 	0.87244136 	0.99894042 	0.99652786 	0.99830597 	0.86911909 	0.97806919 	0.99969513 	0.38809245 	0.98897588 	0.93629679 	0.95687043 	0.92176344 	0.99990941 	0.99925418 	
          44 	0.99927206 	0.12727373 	0.89208846 	0.50861253 	0.97490400 	0.99809464 	0.26106997 	0.98738955 	0.34373044 	0.99051437 	0.83909969 	0.99916515 	0.99755253 	0.99805217 	0.85394314 	0.99204696 	0.99973498 	0.44539308 	0.98698880 	0.93794646 	0.95641917 	0.90274639 	0.99944201 	0.99943532 	
          45 	0.99877080 	0.12347559 	0.91496753 	0.58114265 	0.98782392 	0.99463938 	0.24256919 	0.99418429 	0.34087433 	0.99717597 	0.87477012 	0.99877615 	0.99137803 	0.99680635 	0.82547381 	0.99005468 	0.99950287 	0.44297941 	0.99540653 	0.95352752 	0.94408698 	0.90739596 	0.99667626 	0.99834165 	
          46 	0.99905576 	0.11194688 	0.90838591 	0.55005422 	0.99238862 	0.99463790 	0.22146640 	0.99853533 	0.34755287 	0.99685161 	0.89162224 	0.99930987 	0.99749365 	0.99190247 	0.87107625 	0.98934856 	0.99966375 	0.42746025 	0.99391060 	0.93971042 	0.94464164 	0.92010293 	0.99564960 	0.99596222 	
          47 	0.99912689 	0.11425039 	0.91735180 	0.48513188 	0.97421069 	0.99216205 	0.22348583 	0.99669290 	0.34924525 	0.99531004 	0.88559565 	0.99898737 	0.99828557 	0.98847824 	0.86970201 	0.98256348 	0.99981586 	0.39878179 	0.99608671 	0.93843244 	0.96444295 	0.89376707 	0.99908766 	0.99831032 	
          48 	0.99964745 	0.13341722 	0.91504606 	0.51269259 	0.98490531 	0.99222840 	0.25304208 	0.99345800 	0.31404138 	0.99018317 	0.86892457 	0.99927562 	0.99798196 	0.98255234 	0.87232912 	0.98831815 	0.99976537 	0.40739088 	0.99972421 	0.95698534 	0.97090849 	0.91629587 	0.99978654 	0.99906660 	
          49 	0.99957965 	0.12961081 	0.92548578 	0.50780812 	0.98850788 	0.99127528 	0.25693303 	0.99781114 	0.30716575 	0.98357105 	0.88712697 	0.99919712 	0.99559645 	0.99691478 	0.85603894 	0.98927571 	0.99951589 	0.40145093 	0.99916473 	0.96905717 	0.96712048 	0.88538979 	0.99941993 	0.99069734 	
          50 	0.99966386 	0.14004424 	0.93753570 	0.50206619 	0.96977062 	0.99259709 	0.30197614 	0.99129352 	0.27380438 	0.99344095 	0.89885106 	0.99907866 	0.99157381 	0.99486053 	0.87726949 	0.98621232 	0.99911422 	0.43814488 	0.99742485 	0.95055234 	0.95863503 	0.92432201 	0.99987645 	0.99415394 	
          51 	0.99987492 	0.12179119 	0.88710336 	0.53172568 	0.98608831 	0.99292532 	0.28450284 	0.99881853 	0.34875657 	0.99626130 	0.89732543 	0.99887396 	0.99010908 	0.99086691 	0.89125528 	0.98427653 	0.99917405 	0.42621918 	0.99385206 	0.94162868 	0.94899825 	0.91942609 	0.99995542 	0.99763623 	
          52 	0.99988902 	0.09498328 	0.93321770 	0.51743129 	0.99587290 	0.99340614 	0.26266181 	0.99378010 	0.32887693 	0.99563794 	0.87449489 	0.99663564 	0.98542716 	0.98995238 	0.86627549 	0.98130211 	0.99949647 	0.40870414 	0.99481899 	0.94659632 	0.97381993 	0.90241864 	0.99998721 	0.99938459 	
          53 	0.99979103 	0.11664161 	0.87621233 	0.52897985 	0.99801841 	0.99133847 	0.28030736 	0.99225485 	0.34821309 	0.99709792 	0.85987868 	0.99703684 	0.98230702 	0.99115005 	0.85486124 	0.99175099 	0.99958099 	0.42285469 	0.99881146 	0.93606461 	0.95879029 	0.93194820 	0.99977861 	0.99929062 	
          54 	0.99995577 	0.11316368 	0.92948229 	0.55399791 	0.99610960 	0.99341948 	0.27747381 	0.99603298 	0.34564689 	0.99567781 	0.90950679 	0.99297935 	0.99461723 	0.99395422 	0.90060369 	0.99116056 	0.99918571 	0.39828119 	0.99969414 	0.93756226 	0.94302941 	0.92009403 	0.99956497 	0.99613539 	
          55 	0.99994907 	0.10193298 	0.91633849 	0.54515900 	0.99742870 	0.99160932 	0.19695851 	0.99641352 	0.33736031 	0.99574845 	0.91067110 	0.99846187 	0.99482774 	0.99692281 	0.87894360 	0.98887819 	0.99679223 	0.41979819 	0.99937236 	0.95564656 	0.94288901 	0.90469273 	0.99959023 	0.99659758 	
          56 	0.99994380 	0.14483215 	0.92782171 	0.52641210 	0.98185907 	0.99064839 	0.23531846 	0.99722266 	0.34888259 	0.99708741 	0.88282478 	0.99833474 	0.99354817 	0.99708902 	0.86333644 	0.99077746 	0.99911519 	0.37229678 	0.99936402 	0.92888165 	0.94017032 	0.92064707 	0.99976246 	0.99873909 	
          57 	0.99986978 	0.13178065 	0.91442717 	0.59361420 	0.99251103 	0.99672023 	0.23797518 	0.99073542 	0.29624635 	0.99899315 	0.86972037 	0.99810967 	0.99680241 	0.99765192 	0.88504927 	0.97306787 	0.99856530 	0.40775526 	0.99916848 	0.93651422 	0.94021378 	0.90807345 	0.99951201 	0.99839166 	
          58 	0.99990364 	0.12109036 	0.90523340 	0.56307061 	0.98011043 	0.99769877 	0.28362847 	0.99584254 	0.28758110 	0.99670052 	0.87815911 	0.99680350 	0.99696205 	0.99979152 	0.87914967 	0.98468453 	0.99706691 	0.40046301 	0.99680597 	0.94484578 	0.95929336 	0.90099025 	0.99959960 	0.99745861 	
          59 	0.99983335 	0.12760655 	0.89735574 	0.52906384 	0.97981189 	0.99713792 	0.26886547 	0.99287591 	0.29905285 	0.99628972 	0.89516478 	0.99591629 	0.99745760 	0.99888839 	0.86847163 	0.98926791 	0.99706353 	0.45524130 	0.99909917 	0.94227089 	0.95676200 	0.91368706 	0.99967357 	0.99906863 	
          60 	0.99937331 	0.11674467 	0.90243527 	0.50191769 	0.99009077 	0.99650438 	0.25976235 	0.99468040 	0.29032559 	0.99782427 	0.89488718 	0.98859212 	0.99437873 	0.99851238 	0.90527147 	0.97693573 	0.99347401 	0.36840179 	0.99900330 	0.91604554 	0.94812758 	0.91958685 	0.99959622 	0.99759484 	
          61 	0.99773888 	0.14287278 	0.90509140 	0.52448883 	0.99159948 	0.98907588 	0.27991477 	0.99481075 	0.29208574 	0.99821201 	0.89578846 	0.99131084 	0.99630889 	0.99077410 	0.87869086 	0.99332949 	0.99672505 	0.37352271 	0.99891381 	0.94168069 	0.94073521 	0.88713392 	0.99983526 	0.99905172 	
          62 	0.99980194 	0.11963462 	0.94376965 	0.53753608 	0.98864893 	0.99618412 	0.25430413 	0.99479674 	0.34004701 	0.99563805 	0.89296311 	0.99404086 	0.99914449 	0.99397767 	0.87269854 	0.99246942 	0.99468956 	0.35653786 	0.99836229 	0.93680313 	0.96305465 	0.90543878 	0.99974931 	0.99841515 	
          63 	0.99943092 	0.12444289 	0.90821532 	0.51297688 	0.98506928 	0.99276124 	0.25837689 	0.99377794 	0.31021123 	0.99657230 	0.90342277 	0.99680265 	0.99842411 	0.99877105 	0.89918974 	0.99279494 	0.99370675 	0.39896622 	0.99781653 	0.95487186 	0.95809909 	0.92478311 	0.99806314 	0.99835398 	
          64 	0.99465406 	0.11662458 	0.87637404 	0.54345005 	0.98967154 	0.99614989 	0.26769450 	0.98405423 	0.31887761 	0.99679437 	0.86070068 	0.98161560 	0.99447271 	0.99520667 	0.87413404 	0.98583909 	0.99738423 	0.43489518 	0.99660087 	0.96862446 	0.96096473 	0.91067413 	0.99937306 	0.99849999 	
          65 	0.99522311 	0.09892026 	0.89187630 	0.53430003 	0.99485966 	0.99567955 	0.21579894 	0.98659981 	0.30667453 	0.99876193 	0.89659672 	0.99717549 	0.99704132 	0.99270369 	0.85740031 	0.99384417 	0.99739266 	0.42356953 	0.99766469 	0.91306897 	0.95170009 	0.93929775 	0.99736165 	0.99840978 	
          66 	0.99636095 	0.12604176 	0.94937054 	0.52633613 	0.99243820 	0.99622175 	0.32368417 	0.99809645 	0.32991999 	0.99672632 	0.88344979 	0.99611877 	0.99762029 	0.99177525 	0.89906042 	0.98283058 	0.99919057 	0.46350881 	0.99832116 	0.96425967 	0.94491599 	0.91484665 	0.99615620 	0.99798830 	
          67 	0.99481842 	0.10855688 	0.90241843 	0.52338431 	0.96263153 	0.99599809 	0.29910693 	0.99475865 	0.30556936 	0.99876453 	0.91355463 	0.99894086 	0.99907814 	0.99295411 	0.85357814 	0.98091077 	0.99708796 	0.41369219 	0.99779336 	0.94656876 	0.93489699 	0.91175218 	0.99479105 	0.99349644 	
          68 	0.99836272 	0.12775041 	0.90542194 	0.51378012 	0.99207508 	0.99562412 	0.27501340 	0.99568103 	0.28733291 	0.99888796 	0.89749462 	0.99457054 	0.99905261 	0.99363293 	0.87468439 	0.99322507 	0.99497416 	0.43776312 	0.99778753 	0.94080718 	0.97786363 	0.88774659 	0.99698560 	0.99064756 	
          69 	0.99691312 	0.12362108 	0.88365775 	0.56152589 	0.99275249 	0.99268797 	0.25742135 	0.99929674 	0.26453532 	0.99595083 	0.88274830 	0.99745906 	0.99937291 	0.99613361 	0.89206624 	0.99364886 	0.99853228 	0.42538177 	0.99625119 	0.95052607 	0.92990710 	0.89020530 	0.99923556 	0.98996809 	
          70 	0.99704083 	0.12521423 	0.91926203 	0.56355246 	0.99194349 	0.98789258 	0.28210100 	0.99929604 	0.29576999 	0.99565420 	0.90825904 	0.99702054 	0.99881534 	0.99711933 	0.88102849 	0.99402041 	0.99884939 	0.43844870 	0.99608026 	0.94740445 	0.94977969 	0.91493055 	0.99862727 	0.98744470 	
          71 	0.99863248 	0.13687867 	0.94994772 	0.45360689 	0.99387799 	0.99441382 	0.22653839 	0.99787296 	0.27215636 	0.99709460 	0.91922503 	0.99535554 	0.99779885 	0.99737293 	0.89764077 	0.97493244 	0.99764779 	0.42394281 	0.99848806 	0.95267044 	0.94879856 	0.90627125 	0.99895262 	0.99698096 	
          72 	0.99841928 	0.12261617 	0.89435682 	0.52691401 	0.99739676 	0.99793686 	0.26416690 	0.99497492 	0.27620020 	0.99794479 	0.89729025 	0.99744184 	0.99892029 	0.99862328 	0.84473934 	0.98812821 	0.99581955 	0.42195730 	0.99829548 	0.91700509 	0.94236237 	0.89306484 	0.99954376 	0.99801267 	
          73 	0.99790313 	0.15356216 	0.88812498 	0.48885488 	0.98635715 	0.99901124 	0.26653562 	0.99789895 	0.30172916 	0.99793482 	0.87626808 	0.99526625 	0.99882252 	0.99885754 	0.85457170 	0.99165681 	0.99822671 	0.44234530 	0.99576497 	0.94553304 	0.91389790 	0.90394170 	0.99825580 	0.99807604 	
          74 	0.99584631 	0.13813841 	0.89377437 	0.51144568 	0.97485025 	0.99725314 	0.25317047 	0.99540258 	0.28900531 	0.99876532 	0.87695203 	0.99903401 	0.99862937 	0.99913174 	0.86811994 	0.98224343 	0.99881107 	0.43218375 	0.99909421 	0.96877541 	0.94700951 	0.90075812 	0.99856583 	0.99646416 	
          75 	0.99882954 	0.13786934 	0.91570054 	0.53009364 	0.95653702 	0.99619223 	0.26430758 	0.99454969 	0.28192677 	0.99949046 	0.85677611 	0.99728760 	0.99836517 	0.99818351 	0.87170164 	0.98746545 	0.99908266 	0.43200647 	0.99929264 	0.92597328 	0.94541943 	0.89638901 	0.99793886 	0.99823345 	
          76 	0.99650721 	0.14190471 	0.92866224 	0.53229313 	0.97789653 	0.99427614 	0.26840005 	0.99630363 	0.26026200 	0.99895183 	0.88161427 	0.99564892 	0.99756767 	0.99770926 	0.85599443 	0.99695014 	0.99858931 	0.34685636 	0.99953475 	0.95042413 	0.93776757 	0.89272087 	0.99798798 	0.99416590 	
